capability_key,section_id,target_route,current_route_state,formal_provenance,fresh_active_membership,active_institution_anchor,owner_capability_facts,trusted_server_clock,diagnostic_route_guard,capability_revision,scope_shape,read_only_semantics,low_sensitive_output,external_dependency,schema_or_migration_dependency,test_evidence,readiness_classification,blocker_reason
page_knowledge_search,knowledge,/hospital/knowledge/search,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_knowledge_qa,knowledge,/hospital/knowledge/qa,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_knowledge_jobs,knowledge,/hospital/knowledge/jobs,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_analytics_overview,analytics,/hospital/analytics,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_analytics_consumption,analytics,/hospital/analytics/consumption,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_analytics_projects,analytics,/hospital/analytics/projects,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_analytics_opportunities,analytics,/hospital/analytics/opportunities,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_analytics_reports,analytics,/hospital/analytics/reports,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_overview,system,/hospital/system,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,registered_diagnostic_target_requires_authority,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_organization,system,/hospital/system/organization,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_channels,system,/hospital/system/channels,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,registered_diagnostic_target_requires_authority,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_channel_mappings,system,/hospital/system/channels/mappings,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,not_registered_diagnostic_target,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_data,system,/hospital/system/data,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,registered_diagnostic_target_requires_authority,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_ai_usage,system,/hospital/system/ai-usage,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,registered_diagnostic_target_requires_authority,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_privacy,system,/hospital/system/privacy,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,registered_diagnostic_target_requires_authority,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
page_system_audit,system,/hospital/system/audit,capability_off_catch_all,owner_requirement_not_sealed,owner_requirement_not_sealed,owner_requirement_not_sealed,missing_authoritative_owner_facts,owner_requirement_not_sealed,registered_diagnostic_target_requires_authority,missing_authoritative_revision,non_authorizing_candidate_scope_only,capability_off_no_business_reader,placeholder_only_no_business_data,not_invoked_by_current_off_route,not_exercised_by_current_off_route,registry+status_evaluator+status_reader+route_shell,blocked,current_route_capability_off|authority_bearing_capability_status_missing
