current_path,current_category,recommended_action,recommended_target,risk,phase,manual_review_required,status,notes
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-2.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-0.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-0.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-1.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-1.json,low,review,yes,pending,需要人工确认职责。
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-2.json,other,KEEP_REVIEW,.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-2.json,low,review,yes,pending,需要人工确认职责。
